Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIGREEN,10,419.8,347.3,3473,-725,-17.27,-0.29
ANDHRAPET,34,25.05,21.95,746.3,-105.25,-12.36,0
ASHOKA,17,71.19,57.7,980.9,-229.3,-18.95,0
ASHOKLEY,80,73.59,51.75,4140,-1747.15,-29.68,0
AXISBANK,1,413.75,433.35,433.35,19.6,4.74,0
BANKBARODA,50,46.5,49.4,2470,144.85,6.23,0
BEL,20,72.79,98,1960,504.25,34.64,3.76
BILENERGY,1625,1.56,1,1625,-905.47,-35.78,-0.99
BIOCON,1,354.2,431.6,431.6,77.4,21.85,1.21
CADILAHC,3,322.13,377.4,1132.2,165.8,17.16,4.57
CAPLIPOINT,5,360.5,386.25,1931.25,128.75,7.14,0
COX&KINGS-BZ,700,2.46,1.45,1015,-707.6,-41.08,0
CPSEETF,450,20.16,17.33,7798.5,-1275.15,-14.05,0
DHANBANK,50,12.64,12.61,630.5,-1.4,-0.22,-0.39
DISHTV,1000,8.18,7.45,7450,-731.65,-8.94,0
EDELWEISS,55,68.44,64.4,3542,-221.95,-5.9,0
ENGINERSIN,60,86.11,70.95,4257,-909.35,-17.6,0
EQUITAS,32,62.27,55.05,1761.6,-231,-11.59,0
EVEREADY,20,78.74,112.95,2259,684.25,43.45,0
EXCELINDUS,2,636.78,726,1452,178.45,14.01,-0.07
FSL,52,47.74,42.5,2210,-272.25,-10.97,0
GAIL,10,93.29,100.95,1009.5,76.65,8.22,0
GLENMARK,8,540.3,429.95,3439.6,-882.8,-20.42,0
GOLDBEES,24,41.83,42.88,1029.12,25.26,2.52,0
GVKPIL,1000,3.95,2.21,2210,-1738.55,-44.03,0
HAL,6,751.33,937.5,5625,1117,24.78,0
HCG,5,114.14,123.6,618,47.3,8.29,0
HDFCBANK,2,935.83,1099.15,2198.3,326.65,17.45,0
HDFCLIFE,1,495.95,614.75,614.75,118.8,23.95,0
ICICIBANK,10,340.7,353.85,3538.5,131.5,3.86,0
ICICINIFTY,3,95.52,114.75,344.25,57.68,20.13,0
ICICINV20,4,49.54,55.13,220.52,22.35,11.28,0
ICICINXT50,4,23.7,26.58,106.32,11.52,12.15,0
IDEA,100,8.5,8.9,890,40,4.71,0
IDFCFIRSTB,240,30.63,26.55,6372,-980.25,-13.33,0
IEX,10,190.3,185.1,1851,-52,-2.73,-1.07
INDUSINDBK,5,483.31,520.8,2604,187.45,7.76,0.42
INSECTICID,1,399.95,431.95,431.95,32,8,0
IOB,80,11.55,10.67,853.6,-70.37,-7.62,0
IOC,10,81,86.9,869,59,7.28,0
IRCON,1,92.3,91.95,91.95,-0.35,-0.38,5.69
J&KBANK,300,17.36,16.75,5025,-181.85,-3.49,0
JAICORPLTD,12,103.35,91.45,1097.4,-142.75,-11.51,0
JUNIORBEES,1,239.19,275.09,275.09,35.9,15.01,0
KSK-BE,900,0.73,0.75,675,14.2,2.15,0
L&TFH,35,95.69,61.65,2157.75,-1191.5,-35.58,0
LT,3,903.6,925.55,2776.65,65.85,2.43,0.48
MIDHANI,6,203.02,208.4,1250.4,32.3,2.65,0
NAM-INDIA,1,245.25,292.3,292.3,47.05,19.18,0
NBCC,120,28.34,25.15,3018,-383,-11.26,0
NETWORK18,300,43.77,43.3,12990,-140,-1.07,0
NEWGEN,65,176.43,172.65,11222.25,-245.85,-2.14,0
NHPC,25,20.9,20.1,502.5,-19.9,-3.81,0
NTPC,20,91.3,88.3,1766,-60.05,-3.29,0
PCJEWELLER,30,18.43,14.7,441,-112,-20.25,0
PFC,3,118.17,82.05,246.15,-108.35,-30.56,0
PIDILITIND,1,1467,1392.9,1392.9,-74.1,-5.05,0
PNB,170,45.7,33.6,5712,-2057.35,-26.48,0
RALLIS,2,230.85,285.65,571.3,109.6,23.74,0
RCOM,400,2.39,2.97,1188,231.1,24.15,0
RELIANCE,7,1893.01,1911.7,13381.9,130.85,0.99,0
RVNL,300,24.25,19.75,5925,-1349.05,-18.55,0
SBILIFE,1,750,875.2,875.2,125.2,16.69,0
SBIN,16,200.47,188.3,3012.8,-194.75,-6.07,0
SOUTHBANK,72,7.33,7.5,540,12.03,2.28,0
STARCEMENT,7,106.75,88.05,616.35,-130.9,-17.52,0
STRTECH,91,147.66,155.7,14168.7,731.45,5.44,0
SUNPHARMA,4,399.2,503.6,2014.4,417.6,26.15,0
SUPRAJIT,1,122.35,159.8,159.8,37.45,30.61,0
SUZLON,50,4.66,4.53,226.5,-6.5,-2.79,0
TATACHEM,2,263.5,299.9,599.8,72.8,13.81,0.49
TRIDENT,200,5.51,6.36,1272,169.2,15.34,0
TV18BRDCST,3,33.43,35.7,107.1,6.8,6.78,0
UCOBANK,220,17.6,13.15,2893,-978.95,-25.28,0
UJAAS,4,5.37,6.26,25.04,3.58,16.68,0
UNIPLY,220,7.55,5.9,1298,-362.95,-21.85,0
VIKASPROP,400,3.9,3.5,1400,-160,-10.26,0
