Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-02,SBIN,EQ,250.2,252.5,253.65,242.6,243.55,243.6,244.8,25988990,636216836875000.0,164268,12078409,0.4648
2017-01-03,SBIN,EQ,243.6,244.0,246.4,241.1,244.9,244.9,244.54,15963085,390355579920000.0,112537,4370526,0.2738
2017-01-04,SBIN,EQ,244.9,245.8,246.4,242.2,243.2,242.9,243.96,11225978,273865055015000.0,91672,3632352,0.3236
2017-01-05,SBIN,EQ,242.9,245.0,245.9,243.7,245.5,245.35,244.94,11970913,293220948965000.0,88254,4511456,0.3769
2017-01-06,SBIN,EQ,245.35,246.0,249.0,245.5,246.05,245.9,247.1,12354302,305271407630000.0,75839,3393716,0.2747
2017-01-09,SBIN,EQ,245.9,246.4,248.35,246.0,246.7,247.05,247.09,8329253,205807724910000.0,96852,2615006,0.314
2017-01-10,SBIN,EQ,247.05,247.7,249.0,246.4,248.9,248.3,247.64,9352013,231592686815000.0,61592,3888157,0.4158
2017-01-11,SBIN,EQ,248.3,249.65,253.2,249.0,251.7,252.15,251.31,13415303,337136258725000.0,88947,4496383,0.33520000000000005
2017-01-12,SBIN,EQ,252.15,252.9,254.45,250.55,251.15,251.25,252.31,11282323,284669071210000.0,79782,3565007,0.316
2017-01-13,SBIN,EQ,251.25,252.0,252.6,249.1,251.0,250.9,250.86,9333736,234150304275000.0,61618,2870258,0.3075
2017-01-16,SBIN,EQ,250.9,251.05,256.4,250.7,256.4,255.75,254.48,13234727,336798875265000.0,103243,6268943,0.4737
2017-01-17,SBIN,EQ,255.75,257.45,258.65,254.4,255.9,256.0,256.89,9480201,243540329850000.0,78812,2606666,0.275
2017-01-18,SBIN,EQ,256.0,257.1,259.3,256.6,258.3,258.35,258.06,8048897,207710055630000.0,67626,2556065,0.31760000000000005
2017-01-19,SBIN,EQ,258.35,257.2,262.0,256.5,258.05,258.4,259.16,13029151,337664137660000.0,90954,4631679,0.3555
2017-01-20,SBIN,EQ,258.4,258.5,260.5,250.3,251.2,251.05,254.94,15341756,391126679250000.0,130482,5848512,0.3812
2017-01-23,SBIN,EQ,251.05,251.0,255.2,250.1,254.8,254.15,253.65,9339939,236907964500000.0,68661,3291451,0.35240000000000005
2017-01-24,SBIN,EQ,254.15,255.1,257.0,254.0,254.6,254.9,255.53,13540202,345995378885000.0,67944,6203676,0.4582
2017-01-25,SBIN,EQ,254.9,255.55,261.0,254.2,259.85,259.2,256.69,16343545,419516028020000.0,100850,9274609,0.5675
2017-01-27,SBIN,EQ,259.2,260.3,268.2,259.5,266.5,266.45,264.82,18039379,477727142235000.06,141762,6528038,0.3619
2017-01-30,SBIN,EQ,266.45,265.85,267.9,263.4,263.85,263.95,265.55,11884795,315595148040000.0,81433,4484109,0.37729999999999997
2017-01-31,SBIN,EQ,263.95,261.15,263.85,259.65,260.0,260.35,261.37,8899165,232594962315000.0,58875,3298704,0.37070000000000003
